sha256_hash,malware_family,stratum_tier
54f92f8c030c031d9d6fc21cde3f112390ebd3fa4e434c457036142ef04367e3,ransomware,known
bd5c2655ef215e2818fcf724f1c18b3387a99db7fddc31e7bf0b10ab4bda7471,ransomware,known
b8e6cfc771a0ccd9fda4fb074eda726a6421785683eb07694742eaf645610b10,ransomware,known
1fc1f0afd394e3b49b57a1caa330c2dbf2e465137030b2400134b39bd8ba248c,ransomware,known
a05d794802365827a037ab97e79e87203c61d4970d9be7a999077f38aa8f5b56,ransomware,known
997158f31d63d92877d78ee9896da7c622c8fcd8941e2219ab05dbd1d31d0ac2,ransomware,known
324b9dadcf7e35c2372c1a4db0341d7795845729c5777dcd23c941f73478430e,ransomware,known
0106808f7d8aa94500eda8569adc4c690e14c9024553ce8c403070739e50783d,ransomware,known
2afb3d4074d818b5972c0e9a66251792c9cec70e96df34f019ef3b4b175ebee7,ransomware,known
e0e7b10b1fe6b9b4f96ad8888bc3090a11d2e7d16bbcf8ca1e07308ef9fe7dc5,ransomware,known
2924fbc932157ff40822b095ed5f468fef03f66eb0c2440a32d081228a16fbd7,ransomware,known
4402667e291098deff82f4581e8b6e5ab8e1b193a32ee7ee634346681c6215f2,ransomware,known
57ec3ef954a0cb03d180df1a891fb9fc1b5d814e57ee56ca7217c94b2d48565b,ransomware,known
915525d6865234213fa516c77e189975adcdf312be3cf9cd6391f38d65e0e135,ransomware,known
3ae612527b6ed48543bd4b65c8f1ff29100aa1abc6ceadd46cf3f1809485735e,ransomware,known
a2723a6e3f8135eb3af0a8c53a82843b5afab2c56b3189800dbd8f3f02d08fde,ransomware,known
313649bc2575f316eb9c6c2ebc430d51496c1585d6b8fc657b991e88211e216d,ransomware,known
9fcedffac8e50a1883bc2ca30e28e377a0bc13da7ccb2c3677719d4626de6c6e,ransomware,known
f29fcad58c458ad01fa92d5973cde1bc29df6be26eb472b20fe843a74d6748f2,ransomware,known
b98bcbb67fb8222b7919caed2f27c9b39435be4ee600a3e252319771464a403f,ransomware,known
8819bc1fe5f4806e8c452fdb3fdb468b1e44994bedd29e2a20e4133509a0de8f,ransomware,known
dce9fc91ba83e3e2857583b4d3a0ff2c6517e76655fa5c3813745272781fae85,ransomware,known
eb48305781215ca9aab9673e20d0afbc4f72939d9bff27684889e97547de47e8,ransomware,known
7deae5f884122b99aa9c6ab0f8d9567c83ef58ca49dbe81819bd9ad65e9793c4,ransomware,known
14a9f1c2f7f0743d0ac526620f1139e4521cd0e9241a4b4b68ea5f0ee8fa29d6,ransomware,known
1ab5c03e872a23122438c09c801fce594dbf179864b4ef1a7cc979ea6b12c0db,ransomware,known
4ec553b2397c754bb036eadc90b295a6d6a291380abc2f84a496dd67c9d2ad0d,ransomware,known
e2aca9dab389170fcafd8368057bac12faea0910f67a45f68eadb0b0342ed42f,ransomware,known
86f8808c24bd901c6c4c0dddd08691a0ae50922c8cae7e6fbecf9fd1d1632144,ransomware,known
70b8956a2f44f089ebfce711d4c49a6a582bcd25b54ae14377fad9ed03048f02,ransomware,known
21379bacc297c44eb92106087c2ee8e5dc92ce7c3ee29620abbec8e85b726109,ransomware,known
c1636ad4970735f918c908af4f483162784ca9aede4da4e1d1dac06812c6c77d,ransomware,known
165e78d25f8c586904c97474a6e09218c2e54e8d65434828851efed30dec83c1,ransomware,known
1842f5d46b7ea28395944cb047ac2537db08d235a5859fdd4e6363a793c0e3e5,ransomware,known
ec0c06158e56db410ddc2436d8029470de346ac439158286eb14f247b9b619b2,ransomware,known
